template_id,process_id,process_name,process_group,phase,section_name,sort_order,source_sheet,source_row,original_process,original_item,app_item_text,required,risk_level,default_status,assignee_role_default,worker_action_buttons,office_status_options,needs_review,note
CHK-0001,PROC_COMMON,공통,공통,pre_construction,,1,공정별 체크리스트,11,공통,관리사무소 공사 신고 및 도면 확보,관리사무소 공사 신고 및 도면 확보를 완료하였는가?,True,medium,DONE,사무실 관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,앱용 질문형 문장으로 정리
CHK-0002,PROC_COMMON,공통,공통,pre_construction,,2,공정별 체크리스트,12,공통,엘리베이터(게시판) 공사안내문 부착,엘리베이터 게시판에 공사 안내문을 부착하였는가?,True,medium,NOT_STARTED,사무실 관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,앱용 질문형 문장으로 정리
CHK-0003,PROC_COMMON,공통,공통,pre_construction,,3,공정별 체크리스트,13,공통,주변 세대 방문 알림,주변 세대에 공사 일정을 안내하였는가?,True,low,NOT_STARTED,사무실 관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,앱용 질문형 문장으로 정리
CHK-0004,PROC_COMMON,공통,공통,pre_construction,,4,공정별 체크리스트,14,공통,엘리베이터 및 공사통로 보양,엘리베이터 및 공사 통로 보양을 완료하였는가?,True,medium,NOT_STARTED,사무실 관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,앱용 질문형 문장으로 정리
CHK-0005,PROC_COMMON,공통,공통,pre_construction,,5,공정별 체크리스트,15,공통,철거부분에 대한 현장표기,철거 범위를 현장에 표시하였는가?,True,low,NOT_STARTED,사무실 관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,앱용 질문형 문장으로 정리
CHK-0006,PROC_COMMON,공통,공통,pre_construction,,6,공정별 체크리스트,16,공통,"철거팀에게 철거내용을 사진과 함께 전달(목재, 콘크, 바닥 등)",철거팀에게 철거 범위와 내용을 사진과 함께 전달하였는가?,True,low,NOT_STARTED,사무실 관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,앱용 질문형 문장으로 정리
CHK-0007,PROC_DEMOLITION,철거,철거,demolition,,1,공정별 체크리스트,18,철거시,철거팀과 철거부분 내용 재확인,철거팀과 철거 부분 내용 재확인하였는가?,True,low,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,앱용 질문형 문장으로 정리
CHK-0008,PROC_DEMOLITION,철거,철거,demolition,,2,공정별 체크리스트,19,철거시,철거 전 전기 전자 관련 작동 유무 확인,철거 전 전기 전자 관련 작동 유무 확인하였는가?,True,high,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,앱용 질문형 문장으로 정리
CHK-0009,PROC_DEMOLITION,철거,철거,demolition,,3,공정별 체크리스트,20,철거시,"배전반, 통신함 (단독 인덕션, 에어컨 차단기 확인)","배전반, 통신함 (단독 인덕션, 에어컨 차단기 확인)을(를) 확인하였는가?",True,high,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,True,자동 질문형 변환 문장. 실무 표현 검수 권장
CHK-0010,PROC_DEMOLITION,철거,철거,demolition,,4,공정별 체크리스트,21,철거시,"에어컨 배관, 전기",에어컨 배관 및 전기 상태를 확인하였는가?,True,high,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,앱용 질문형 문장으로 정리
CHK-0011,PROC_DEMOLITION,철거,철거,demolition,,5,공정별 체크리스트,22,철거시,전열교환기 상태,전열교환기 상태를 확인하였는가?,True,high,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,앱용 질문형 문장으로 정리
CHK-0012,PROC_DEMOLITION,철거,철거,demolition,,6,공정별 체크리스트,23,철거시,"월 패드, 홈 오토",월패드 및 홈오토 상태를 확인하였는가?,True,high,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,앱용 질문형 문장으로 정리
CHK-0013,PROC_DEMOLITION,철거,철거,demolition,,7,공정별 체크리스트,24,철거시,보일러 분배기 및 컨트롤러,보일러 분배기 및 컨트롤러 상태를 확인하였는가?,True,high,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,앱용 질문형 문장으로 정리
CHK-0014,PROC_DEMOLITION,철거,철거,demolition,,8,공정별 체크리스트,25,철거시,확장부가 있을 시 단열 상태와 난방배관설치 여부 확인,확장부가 있을 시 단열 상태와 난방배관설치 여부 확인하였는가?,True,high,NOT_STARTED,현장관리자,완료|문제있음|사진찍기|메모,미착수|진행중|완료|보류|문제발생|재확인 요청,False,앱용 질문형 문장으로 정리
