process_id,sort_order,process_name,original_process_name,process_group,default_role,is_active,item_count,description
PROC_COMMON,1,공통,공통,공통,사무실 관리자,True,6,공사 전 공통 행정·보양·현장 안내 체크
PROC_DEMOLITION,2,철거,철거시,철거,현장관리자,True,25,"철거 전후 확인, 기존 설비·전기·구조 관련 체크"
PROC_FLOOR_DEMOLITION,3,마루철거,마루철거시,철거,현장관리자,True,4,마루 철거 후 마킹·후속 공정 연결 체크
PROC_ELECTRICAL,4,전기,전기,전기,전기 작업자,True,25,"분전반, 차단기, 콘센트, 조명, 감지기 등 전기 공정 체크"
PROC_PLUMBING,5,설비,설비,설비,설비 작업자,True,31,급수·배수·난방·위생 설비 공정 체크
PROC_WET_WATERPROOF,6,습식·방수,습식 방수 공사,습식·방수,방수 작업자,True,25,"욕실·발코니·습식 공간 방수, 구배, 타일 전 선행 체크"
PROC_WINDOW,7,샷시,샷시공사,창호,샷시 작업자,True,15,"샷시 마감, 실리콘, 도장·마감 간섭 체크"
PROC_CARPENTRY,8,목공,목공사,목공,목공 작업자,True,39,"천정, 벽체, 문틀, 몰딩, 간접조명, 가구 선행 목공 체크"
PROC_FILM,9,필름,필름공사,필름,필름 작업자,True,11,"필름 시공 부위, 면 정리, 손잡이·기구 탈거 및 마감 체크"
PROC_TILE,10,타일,타일공사,타일,타일 작업자,True,28,"타일 수량, 파손, 구배, 마감 높이, 줄눈·실리콘 체크"
PROC_PAINT,11,도장,도장공사,도장,도장 작업자,True,11,"도장 자재, 퍼티, 면 정리, 보양, 마감 체크"
PROC_FLOORING,12,마루,마루공사,바닥,마루 작업자,True,9,"마루 시공, 걸레받이, 실리콘, 보양, 평활도 체크"
PROC_WALLPAPER,13,도배,도배공사,도배,도배 작업자,True,12,"도배지, 면 정리, 풀칠, 스피커·기구 주변 체크"
PROC_FIXTURE_CEILING_PARTITION,14,도기류·돔천정·파티션,"도기류세팅, 돔천정, 파티션",위생기구·천정·파티션,현장관리자,True,5,"위생기구, 욕실 액세서리, 돔천정, 파티션 설치 체크"
PROC_FURNITURE,15,가구,가구공사,가구,가구 작업자,True,17,"제작가구, 서랍, 문짝, 상판, 가전 간섭, 수직·수평 체크"
PROC_LIGHT_DOOR_AC,16,등기구·문·에어컨,"등기구설치, 문설치, 에어컨설치",설치,현장관리자,True,15,"등기구, 방문, 도어록, 에어컨 설치 및 작동 체크"
PROC_CLEANING_SILICONE,17,준공청소·실리콘,"준공청소, 실리콘",준공,현장관리자,True,14,"준공청소, 실리콘, 보양 제거, 고객 인수 전 최종 점검"
